task_id,n,Fc_over_F,F_over_Fc,F,Fc,J,gamma_mu,zeta,simulation_time,alpha,dt,nums,timestamp
76,1,8.500000000000007,0.11764705882352931,1.391596638655461e-12,1.1828571428571428e-11,3.1634403794360835e-08,0.0022881719788090354,1.0065662862101696e-07,215.43412041664124,0.07,0.001,1000000,20251006_023945
77,1,8.600000000000007,0.11627906976744178,1.3754152823920255e-12,1.1828571428571428e-11,3.1542481916427514e-08,0.002308364556285372,1.0065662862101696e-07,219.01562809944153,0.07,0.001,1000000,20251006_024324
78,1,8.700000000000006,0.1149425287356321,1.3596059113300481e-12,1.1828571428571428e-11,3.1589150248759694e-08,0.002338661032984461,1.0065662862101696e-07,218.52001309394836,0.07,0.001,1000000,20251006_024703
79,1,8.800000000000008,0.11363636363636354,1.3441558441558428e-12,1.1828571428571428e-11,3.1599868869220356e-08,0.0023663448543345925,1.0065662862101696e-07,217.13582396507263,0.07,0.001,1000000,20251006_025040
80,1,8.900000000000007,0.11235955056179765,1.3290529695024064e-12,1.1828571428571428e-11,3.154314225793349e-08,0.0023889389126344894,1.0065662862101696e-07,217.99970698356628,0.07,0.001,1000000,20251006_025418
81,1,9.000000000000007,0.11111111111111102,1.314285714285713e-12,1.1828571428571428e-11,3.15471879791049e-08,0.002416090770777307,1.0065662862101696e-07,222.56841206550598,0.07,0.001,1000000,20251006_025800
82,1,9.100000000000007,0.1098901098901098,1.2998430141287273e-12,1.1828571428571428e-11,3.157703306842348e-08,0.0024452473536985936,1.0065662862101696e-07,216.8918251991272,0.07,0.001,1000000,20251006_030137
83,1,9.200000000000006,0.10869565217391297,1.2857142857142847e-12,1.1828571428571428e-11,3.15577663509631e-08,0.002470609841542672,1.0065662862101696e-07,219.67102456092834,0.07,0.001,1000000,20251006_030517
84,1,9.300000000000008,0.10752688172043001,1.2718894009216577e-12,1.1828571428571428e-11,3.155216897266483e-08,0.002497021322897808,1.0065662862101696e-07,217.93374824523926,0.07,0.001,1000000,20251006_030855
85,1,9.400000000000007,0.10638297872340417,1.2583586626139806e-12,1.1828571428571428e-11,3.1585574825656905e-08,0.0025265431625059545,1.0065662862101696e-07,216.7658998966217,0.07,0.001,1000000,20251006_031232
86,1,9.500000000000007,0.10526315789473677,1.2451127819548862e-12,1.1828571428571428e-11,3.1603329215678925e-08,0.0025548565705476693,1.0065662862101696e-07,215.97428965568542,0.07,0.001,1000000,20251006_021421
87,1,9.600000000000009,0.10416666666666657,1.232142857142856e-12,1.1828571428571428e-11,3.1560648243581107e-08,0.00257826308928103,1.0065662862101696e-07,217.11428451538086,0.07,0.001,1000000,20251006_021758
88,1,9.700000000000008,0.10309278350515455,1.2194403534609708e-12,1.1828571428571428e-11,3.1548625606330056e-08,0.0026041276083303795,1.0065662862101696e-07,215.6184139251709,0.07,0.001,1000000,20251006_022134
